locality,founded,start,end,confidence,note
ADVANCETOWN,1870,,,high,"Gold prospectors and cedar-getters worked here from the 1870s; most of the original village now lies under Hinze Dam, completed 1976."
ALBERTON,1865,,,high,"Sugar-growing selections along the Albert River from the 1860s; still cane and grazing country."
ARUNDEL,1870,1982,2005,medium,"Grazing land until the early 1980s, then Broadwater-side estates and the Arundel Hills Country Club."
ASHMORE,1870,1970,1995,medium,"Dairy and cane farms until the 1960s, then twenty-five years of conventional subdivision."
AUSTINVILLE,1920,,,high,"Banana and dairy selections opened in the 1920s in the Tallebudgera headwaters; still forest and small farms."
BENOWA,1867,1968,1995,medium,"The Benowa sugar plantation and mill stood here from 1867; the golf courses and estates came a century later."
BIGGERA WATERS,1870,1960,1990,medium,"Broadwater canal and waterfront estates dredged through the 1960s and 70s; Harbour Town arrived in 1993."
BILINGA,1920,1925,1980,medium,"Grew around the South Coast railway station named Bilinga in the 1920s; now flanks the airport runway."
BONOGIN,1880,1975,2010,low,"Large rural-residential blocks released into the Bonogin Valley over three decades."
BROADBEACH,1925,1949,1985,medium,"Subdivided in the 1920s but nearly empty until the Broadbeach Hotel opened in 1949; towers from the 1970s."
BROADBEACH WATERS,1957,1957,1980,high,"Alfred Grant began dredging canals here in 1957 - the template for every Gold Coast waterfront suburb that followed."
BUNDALL,1870,1946,1990,medium,"The Gold Coast Turf Club moved to the Bundall cane flats in 1946; the office and civic precinct followed."
BURLEIGH HEADS,1875,1883,1980,medium,"A surveyed township by 1883, a beach resort from the 1920s, and still infilling a century later."
BURLEIGH WATERS,1972,1972,1995,medium,"Canal estates dredged from swamp and cane land behind Burleigh through the 1970s and 80s."
CARRARA,1870,1972,2000,medium,"Riverside farmland subdivided from the early 1970s; the stadium and the Carrara Markets came later."
CLAGIRABA,1870,,,high,"Timber-getting country in the Coomera headwaters; still bushland and acreage."
CLEAR ISLAND WATERS,1978,1978,1998,medium,"A late canal-and-lake estate cut behind Broadbeach and built out over two decades."
COOLANGATTA,1883,1883,1970,high,"Town surveyed in 1883 at Point Danger, named for the schooner Coolangatta wrecked nearby in 1846."
COOMBABAH,1870,1975,2005,medium,"Estates pushed north around Coombabah Lake from the 1970s; much of the wetland is now conservation reserve."
COOMERA,1870,2004,,high,"A timber and farming district on the Coomera River for 130 years, then a growth front from about 2004. Coomera Town Centre opened in 2018 and it is still building."
CURRUMBIN,1880,1925,1980,medium,"A beach and fishing settlement from the 1920s; the Currumbin Bird Sanctuary opened in 1947."
CURRUMBIN VALLEY,1900,,,high,"Banana and dairy selections in the valley from about 1900; still farms, forest and swimming holes."
CURRUMBIN WATERS,1880,1974,1995,medium,"Suburban estates spread up the Currumbin Creek flats through the 1970s and 80s."
ELANORA,1880,1975,1995,medium,"Built out from the mid-1970s behind Palm Beach, around the Tallebudgera Creek flats."
GAVEN,1870,1995,2015,medium,"Acreage and estates between Nerang and the Pacific Motorway, filled in over twenty years."
GILBERTON,1865,,,high,"Farming selections on the lower Albert River from the 1860s; still rural."
GILSTON,1870,1975,2005,low,"Named for the 1870s Gilston homestead; rural-residential acreage released from the mid-1970s."
GUANABA,1870,,,high,"Timber country on the Tamborine foothills; remains bush, acreage and small farms."
HELENSVALE,1870,1980,2010,medium,"Estates from the early 1980s; the railway station (1996) and Westfield (2005) made it a northern hub."
HIGHLAND PARK,1980,1982,2000,medium,"Hillside estates above Nerang, built out in under twenty years."
HOLLYWELL,1870,1962,1990,medium,"Broadwater-front subdivision of the 1960s between Runaway Bay and Paradise Point."
HOPE ISLAND,1870,1987,2020,high,"Sanctuary Cove opened in 1987 and turned cane flats into gated golf-and-marina estates; Hope Island Resort followed through the 1990s."
JACOBS WELL,1870,,,high,"A fishing and boating village on the Pimpama River estuary since the 1870s; still small."
KINGSHOLME,1880,,,high,"Rural acreage on the western side of the Coomera River; largely undeveloped."
LABRADOR,1883,1950,1985,medium,"Named in 1883 for the Broadwater oyster banks, and suburbanised through the 1950s, 60s and 70s."
LOWER BEECHMONT,1910,,,high,"A small hinterland settlement on the Beechmont range road; mostly forest."
LUSCOMBE,1870,,,high,"Farming country between the Albert and Coomera rivers; still rural."
MAIN BEACH,1925,1925,1990,medium,"Southport's ocean beachfront from the 1920s; The Spit's marinas and towers came in the 1980s."
MAUDSLAND,1870,1993,2015,medium,"Acreage and estates spread west of Oxenford from the early 1990s."
MERMAID BEACH,1925,1928,1970,medium,"Subdivided in the late 1920s; the Hedges Avenue beachfront is now the city's most expensive strip."
MERMAID WATERS,1968,1968,1990,medium,"Canal and lake estates dredged behind Mermaid Beach from the late 1960s."
MERRIMAC,1870,1975,2000,medium,"Farmland along the Nerang River, subdivided from the mid-1970s."
MIAMI,1918,1925,1975,medium,"Subdivided in the 1920s and named after Miami, Florida - a deliberate borrowing of glamour."
MOLENDINAR,1870,1970,1995,medium,"Laid out from the 1970s as the city's main light-industrial estate."
MOUNT NATHAN,1875,,,high,"Timber and farming country west of Nerang; still acreage and bush."
MUDGEERABA,1870,1875,1995,medium,"A sawmilling and farming village from the 1870s that took another century to become suburban."
NATURAL BRIDGE,1893,,,high,"Selections in the 1890s; now dominated by Springbrook National Park and its glow-worm cave."
NERANG,1865,1865,2000,high,"Surveyed in 1865 as a river port for timber and sugar - the oldest town on the Gold Coast - and suburbanised in the 1970s and 80s."
NERANWOOD,1910,,,high,"A small hinterland farming settlement in the Mudgeeraba Creek valley."
NORWELL,1870,,,high,"Sugar-cane country on the Albert River delta since the 1870s."
NUMINBAH VALLEY,1870,,,high,"Cedar-getting from the 1870s; a narrow farming valley between two national parks."
ORMEAU,1870,1992,2015,medium,"A 19th-century farming district that filled with estates once the motorway opened it up."
ORMEAU HILLS,1870,2005,2022,medium,"Split from Ormeau and built out with estates from the late 2000s."
OXENFORD,1870,1980,2005,medium,"Farming country until the theme parks - Dreamworld opened 1981 - and the estates that came with them."
PACIFIC PINES,1994,1994,2012,high,"A master-planned community launched in 1994 on former pine plantation land."
PALM BEACH,1925,1928,1985,medium,"Subdivided as a beach estate in the late 1920s and filled in slowly over the following sixty years."
PARADISE POINT,1870,1960,1990,medium,"Broadwater subdivision of the 1960s at the northern end of the coastal strip."
PARKWOOD,1972,1972,1995,medium,"Estates laid out around the Parkwood golf course from the early 1970s."
PIMPAMA,1870,2006,,high,"Sugar mills and a village from the 1870s, then nothing much for 130 years; since 2006 one of the fastest-growing suburbs in Australia, and still building."
REEDY CREEK,1880,1985,2010,medium,"Hillside estates south of Robina, released from the mid-1980s."
ROBINA,1870,1980,2015,high,"Master-planned from 1980 by the Robina Land Corporation; the town centre opened in 1996 and the last precincts filled in after 2010."
RUNAWAY BAY,1961,1961,1990,high,"Canal estates dredged from the early 1960s on the Broadwater."
SOUTH STRADBROKE,1898,,,high,"Severed from North Stradbroke by the 1898 Jumpinpin breakthrough; almost entirely conservation reserve."
SOUTHPORT,1875,1875,1975,high,"The Gold Coast's original town, surveyed in 1875 and Queensland's fashionable seaside resort long before Surfers existed. A century of building, and still redeveloping."
SPRINGBROOK,1906,,,high,"Selections opened on the plateau from about 1906; now largely national park and rainforest."
STAPYLTON,1870,,,high,"Rural land on the Albert River, now partly industrial around the motorway."
STEIGLITZ,1880,,,high,"A small settlement on the Pimpama River estuary; still mostly canefield and wetland."
SURFERS PARADISE,1923,1925,1985,high,"Subdivided as Elston and renamed in 1933 after Jim Cavill's Surfers Paradise Hotel (1925); the high-rise skyline is largely 1960s to 80s."
TALLAI,1880,1975,2005,low,"Large hillside acreage blocks above Mudgeeraba, released over three decades."
TALLEBUDGERA,1870,,,medium,"Farming selections along Tallebudgera Creek from the 1870s; still largely rural with a suburban fringe."
TALLEBUDGERA VALLEY,1880,,,high,"A narrow farming valley running up to the McPherson Range."
TUGUN,1910,1915,1975,medium,"Grew around the South Coast railway from about 1915; now hemmed in by the airport."
UPPER COOMERA,1870,1995,2015,medium,"Timber and farming country that became a mass-market housing corridor in twenty years."
VARSITY LAKES,1989,1998,2015,high,"Built around Bond University, which opened in 1989; the lakeside suburb was laid out from the late 1990s."
WILLOW VALE,1880,,,high,"Rural acreage west of the motorway; still mostly paddocks and bush."
WONGAWALLAN,1875,,,high,"Forested foothills below Tamborine Mountain; acreage and bush."
WOONGOOLBA,1870,,,high,"Cane country on the Albert River delta since the 1870s."
WORONGARY,1880,1978,2010,low,"Farming country that filled with acreage and estates over three decades."
YATALA,1865,,,high,"One of the district's oldest names - the Yatala Pie Shop dates to 1880 - now rural and industrial land beside the motorway."
