locality,era,settled,note
ADVANCETOWN,rural,1870,"Gold prospectors and cedar-getters worked here from the 1870s; most of the original village now lies under Hinze Dam, completed 1976."
ALBERTON,rural,1865,Sugar-growing selections along the Albert River from the 1860s; still cane and grazing country.
ARUNDEL,1980s,1980,Broadwater-side estates and the Arundel Hills Country Club built out through the 1980s on former grazing land.
ASHMORE,1970s,1870,"Dairy and cane farms until the 1960s, then subdivided into conventional suburbia through the 1970s."
AUSTINVILLE,rural,1920,Banana and dairy selections opened in the 1920s in the Tallebudgera headwaters; still forest and small farms.
BENOWA,1970s,1867,Site of the Benowa sugar plantation and mill (1867); suburban estates and golf courses came from the 1970s.
BIGGERA WATERS,1946-1969,1960,"Broadwater canal and waterfront estates dredged through the 1960s, with Harbour Town arriving much later."
BILINGA,1900-1945,1925,Grew around the South Coast railway station named Bilinga in the 1920s; now flanks the airport runway.
BONOGIN,1970s,1975,Large rural-residential blocks carved out of the Bonogin Valley from the 1970s.
BROADBEACH,1946-1969,1950,Subdivided in the 1920s but nearly empty until the 1950s; the Broadbeach Hotel (1949) opened up the strip.
BROADBEACH WATERS,1946-1969,1957,Alfred Grant's dredged canal estates from 1957 - the template for every Gold Coast waterfront suburb that followed.
BUNDALL,1946-1969,1946,The Gold Coast Turf Club moved to Bundall in 1946; the cane flats became the city's office and civic precinct.
BURLEIGH HEADS,pre1900,1875,Selections from the 1870s and a surveyed township by the 1880s; the beach-resort boom followed in the 1920s.
BURLEIGH WATERS,1970s,1972,Canal estates dredged from swamp and cane land behind Burleigh through the 1970s and 80s.
CARRARA,1970s,1970,Riverside farmland subdivided from the 1970s; later home to the stadium and the Carrara Markets.
CLAGIRABA,rural,1870,Timber-getting country in the Coomera headwaters; still bushland and acreage.
CLEAR ISLAND WATERS,1980s,1978,A late canal-and-lake estate cut behind Broadbeach and built out through the 1980s.
COOLANGATTA,pre1900,1883,"Town surveyed in 1883 at Point Danger, named for the schooner Coolangatta wrecked nearby in 1846."
COOMBABAH,1970s,1975,Estates pushed north around Coombabah Lake from the 1970s; much of the wetland is now conservation reserve.
COOMERA,2010s+,1870,"A 19th-century timber and farming district on the Coomera River that became a major growth front after 2010, anchored by Coomera Town Centre (2018)."
CURRUMBIN,1900-1945,1925,A beach and fishing settlement from the 1920s; the Currumbin Bird Sanctuary opened in 1947.
CURRUMBIN VALLEY,rural,1900,"Banana and dairy selections in the valley from about 1900; still farms, forest and swimming holes."
CURRUMBIN WATERS,1970s,1975,Suburban estates spread up the Currumbin Creek flats through the 1970s and 80s.
ELANORA,1970s,1975,"Built out from the mid-1970s behind Palm Beach, around the Tallebudgera Creek flats."
GAVEN,1990s-2000s,1995,Acreage and estates between Nerang and the Pacific Motorway developed through the 1990s.
GILBERTON,rural,1865,Farming selections on the lower Albert River from the 1860s; still rural.
GILSTON,1970s,1870,Named for the 1870s Gilston homestead; rural-residential acreage from the 1970s.
GUANABA,rural,1870,"Timber country on the Tamborine foothills; remains bush, acreage and small farms."
HELENSVALE,1980s,1980,Estates from the early 1980s; the railway station (1996) and Westfield turned it into a northern hub.
HIGHLAND PARK,1980s,1982,Hillside estates above Nerang built through the 1980s.
HOLLYWELL,1946-1969,1960,Broadwater-front subdivision of the 1960s between Runaway Bay and Paradise Point.
HOPE ISLAND,1990s-2000s,1987,Sanctuary Cove (1987) and Hope Island Resort turned cane flats into gated golf-and-marina estates through the 1990s.
JACOBS WELL,rural,1870,A fishing and boating village on the Pimpama River estuary since the 1870s; still small.
KINGSHOLME,rural,1880,Rural acreage on the western side of the Coomera River; largely undeveloped.
LABRADOR,1946-1969,1883,Named in 1883 for the Broadwater oyster banks; built out as suburbia through the 1950s and 60s.
LOWER BEECHMONT,rural,1910,A small hinterland settlement on the Beechmont range road; mostly forest.
LUSCOMBE,rural,1870,Farming country between the Albert and Coomera rivers; still rural.
MAIN BEACH,1900-1945,1925,Southport's ocean beachfront from the 1920s; The Spit's marinas and towers came in the 1980s.
MAUDSLAND,1990s-2000s,1993,Acreage and estates spread west of Oxenford through the 1990s.
MERMAID BEACH,1900-1945,1928,Subdivided in the late 1920s; the Hedges Avenue beachfront is now the city's most expensive strip.
MERMAID WATERS,1970s,1968,Canal and lake estates dredged behind Mermaid Beach from the late 1960s.
MERRIMAC,1970s,1975,Farmland along the Nerang River subdivided from the mid-1970s.
MIAMI,1900-1945,1925,"Subdivided in the 1920s and named after Miami, Florida - a deliberate borrowing of glamour."
MOLENDINAR,1970s,1970,Developed from the 1970s as the city's main light-industrial estate.
MOUNT NATHAN,rural,1875,Timber and farming country west of Nerang; still acreage and bush.
MUDGEERABA,1970s,1870,A sawmilling and farming village from the 1870s that suburbanised from the 1970s.
NATURAL BRIDGE,rural,1893,Selections in the 1890s; now dominated by Springbrook National Park and its glow-worm cave.
NERANG,pre1900,1865,Surveyed in 1865 as a river port for timber and sugar - the oldest town on the Gold Coast.
NERANWOOD,rural,1910,A small hinterland farming settlement in the Mudgeeraba Creek valley.
NORWELL,rural,1870,Sugar-cane country on the Albert River delta since the 1870s.
NUMINBAH VALLEY,rural,1870,Cedar-getting from the 1870s; a narrow farming valley between two national parks.
ORMEAU,1990s-2000s,1870,A 19th-century farming district that filled with estates through the 1990s once the motorway opened it up.
ORMEAU HILLS,2010s+,2005,Split from Ormeau and built out with estates from the late 2000s.
OXENFORD,1980s,1870,Farming country until theme parks - Dreamworld opened 1981 - and estates arrived in the 1980s.
PACIFIC PINES,1990s-2000s,1994,A master-planned community launched in 1994 on former pine plantation land.
PALM BEACH,1900-1945,1928,Subdivided as a beach estate in the late 1920s and filled in slowly over the following decades.
PARADISE POINT,1946-1969,1960,Broadwater subdivision of the 1960s at the northern end of the coastal strip.
PARKWOOD,1970s,1972,Estates laid out around the Parkwood golf course from the 1970s.
PIMPAMA,2010s+,1870,Sugar mills and a village from the 1870s; since 2010 one of the fastest-growing suburbs in Australia.
REEDY CREEK,1980s,1985,Hillside estates south of Robina built from the mid-1980s.
ROBINA,1980s,1980,Master-planned from 1980 by the Robina Land Corporation; the town centre opened in 1996.
RUNAWAY BAY,1946-1969,1961,Canal estates dredged from the early 1960s on the Broadwater.
SOUTH STRADBROKE,rural,1898,Severed from North Stradbroke by the 1898 Jumpinpin breakthrough; almost entirely conservation reserve.
SOUTHPORT,pre1900,1875,"The Gold Coast's original town, surveyed in 1875 and Queensland's fashionable seaside resort long before Surfers existed."
SPRINGBROOK,rural,1906,Selections opened on the plateau from about 1906; now largely national park and rainforest.
STAPYLTON,rural,1870,"Rural land on the Albert River, now partly industrial around the motorway."
STEIGLITZ,rural,1880,A small settlement on the Pimpama River estuary; still mostly canefield and wetland.
SURFERS PARADISE,1900-1945,1925,Subdivided as Elston and renamed in 1933 after Jim Cavill's Surfers Paradise Hotel (1925); high-rise followed from the 1960s.
TALLAI,1970s,1975,Large hillside acreage blocks above Mudgeeraba released from the 1970s.
TALLEBUDGERA,rural,1870,Farming selections along Tallebudgera Creek from the 1870s; still largely rural with a suburban fringe.
TALLEBUDGERA VALLEY,rural,1880,A narrow farming valley running up to the McPherson Range.
TUGUN,1900-1945,1915,Grew around the South Coast railway from about 1915; now hemmed in by the airport.
UPPER COOMERA,1990s-2000s,1870,Timber and farming country that became a mass-market housing corridor through the 2000s.
VARSITY LAKES,1990s-2000s,1998,A lakeside master-planned suburb built around Bond University (1989) and gazetted in the 2000s.
WILLOW VALE,rural,1880,Rural acreage west of the motorway; still mostly paddocks and bush.
WONGAWALLAN,rural,1875,Forested foothills below Tamborine Mountain; acreage and bush.
WOONGOOLBA,rural,1870,Cane country on the Albert River delta since the 1870s.
WORONGARY,1970s,1880,Farming country that filled with acreage and estates from the 1970s.
YATALA,rural,1865,One of the district's oldest names - the Yatala Pie Shop dates to 1880 - now rural and industrial land beside the motorway.
